State,County,Operational,Shutdown,Potential,Any Landfill,ACSTOTPOP,ACSTOTHH,MINORPOP,LOWINCOME,UNEMPLOYED,LESSHS,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT
AK,Aleutians West,0.0,0.0,1.0,1.0,5708,1306,4385,1109,159,345,0.0,0.0,0.109595191,8.0,0.1,0.0,0.040295421,1.940781132,0.008495066,0.003795226,0.0,3792628342.0,8394545251.0,0.333333333,0.333333333
AK,Anchorage,1.0,0.0,1.0,1.0,292090,106970,126363,62252,8055,11555,0.0,0.0,0.496352588,48.35,0.6265,633.0670231,0.131820286,0.869781605,0.354112135,5.700917056,0.0,22102956.75,3106510.985,0.01,0.015
AK,Fairbanks North Star,0.0,0.0,1.0,1.0,98455,36199,30764,20062,3394,3425,0.0,0.0,0.132722926,15.06349206,0.226984127,185.1554523,0.132946232,0.222283251,0.495616222,3.572935945,0.0,301540765.3,4116560.683,0.031746032,0.079365079
AK,Juneau,0.0,0.0,1.0,1.0,32099,12878,11733,5053,758,851,0.0,0.0,0.053348342,9.19047619,0.1,238.8865905,0.003055543,0.018861691,0.015408402,2.038203609,0.0,333495563.6,67915752.0,0.0,0.047619048
AK,Kenai Peninsula,0.0,0.0,1.0,1.0,58809,21781,12245,15947,2146,2887,0.0,0.0,0.037205513,9.514285714,0.162857143,46.42409569,0.008309502,0.084908989,0.055587679,0.23960169,0.0,1185283524.0,644033837.6,0.0,0.085714286
AK,Kodiak Island,0.0,0.0,1.0,1.0,13383,4231,6988,2725,421,929,0.0,0.0,0.040360318,8.1,0.1,170.4651385,0.002374822,1.818346984,0.203384059,2.165268774,0.0,1732406723.0,1414886437.0,0.0,0.1
AK,Matanuska-Susitna,0.0,0.0,1.0,1.0,107360,31964,23177,24873,4755,4499,0.0,0.0,0.110883447,10.36065574,0.178688525,55.29691584,0.024397303,0.106432771,0.024527451,0.402661689,0.0,1049028641.0,23715294.75,0.0,0.0
AL,Baldwin,1.0,0.0,0.0,1.0,218289,84047,37334,57127,4027,14823,8.258211118,38.15753711,0.153793306,27.52136752,0.344444444,142.5852578,0.027857227,0.122296915,0.350592867,0.792462462,0.008259852,34895391.52,9601322.381,0.0,0.084745763
AL,Blount,0.0,0.0,1.0,1.0,57755,21205,7690,20042,1253,6838,8.934096381,41.48239023,0.13979472,30.0,0.406976744,47.71720209,0.023230511,0.083530246,0.174388358,0.316761115,0.001042269,38843234.65,345587.9302,0.0,0.023255814
AL,Calhoun,0.0,0.0,1.0,1.0,114324,44572,32275,42196,3769,11787,8.930636682,39.8447298,0.168800336,31.98113208,0.463207547,178.2253536,0.068905705,0.494890501,0.969313636,1.732814355,0.118280595,14665851.65,154544.7944,0.009345794,0.140186916
