State,County,Operational,Shutdown,Potential
AK,Aleutians West,0,0,1
AK,Anchorage,1,0,1
AK,Fairbanks North Star,0,0,1
AK,Juneau,0,0,1
AK,Kenai Peninsula,0,0,1
AK,Kodiak Island,0,0,1
AK,Matanuska-Susitna,0,0,1
AL,Baldwin,1,0,0
AL,Blount,0,0,1
AL,Calhoun,0,0,1
AL,Cherokee,1,0,0
AL,Chilton,0,0,1
AL,Coffee,0,0,1
AL,Colbert,0,0,1
AL,Cullman,0,0,1
AL,DeKalb,1,0,0
AL,Escambia,0,0,1
AL,Houston,0,0,1
AL,Jackson,0,1,1
AL,Jefferson,0,1,1
AL,Lauderdale,0,1,1
AL,Lawrence,0,0,1
AL,Lee,0,0,1
AL,Limestone,0,0,1
AL,Madison,0,1,1
AL,Marshall,0,0,1
AL,Mobile,0,1,1
AL,Monroe,0,0,1
AL,Montgomery,0,1,1
AL,Morgan,1,1,0
AL,Perry,0,0,1
AL,Pike,0,0,1
AL,Shelby,0,0,1
AL,St. Clair,1,1,1
AL,Tallapoosa,0,0,1
AL,Tuscaloosa,0,0,1
AL,Walker,0,0,1
AL,Washington,0,0,1
AL,Winston,0,0,1
AR,Arkansas,0,0,1
AR,Ashley,0,0,1
AR,Baxter,0,0,1
AR,Conway,0,0,1
AR,Craighead,0,0,1
AR,Crittenden,0,0,1
AR,Faulkner,0,0,1
AR,Fulton,0,0,1
AR,Greene,0,0,1
AR,Hempstead,0,0,1
AR,Howard,0,0,1
AR,Jackson,0,0,1
AR,Jefferson,0,0,1
AR,Mississippi,0,0,1
AR,Phillips,0,0,1
AR,Prairie,0,0,1
AR,Pulaski,1,1,1
AR,Saline,0,0,1
AR,Sebastian,1,1,0
AR,Union,0,0,1
AR,Washington,1,0,0
AR,Yell,0,0,1
AZ,Apache,0,0,1
AZ,Cochise,0,0,1
AZ,Coconino,0,0,1
AZ,La Paz,0,0,1
AZ,Maricopa,1,1,1
AZ,Mohave,0,0,1
AZ,Navajo,0,0,1
AZ,Pima,0,1,1
AZ,Pinal,0,0,1
AZ,Santa Cruz,0,0,1
AZ,Yavapai,0,0,1
AZ,Yuma,0,0,1
CA,Alameda,1,1,1
CA,Amador,0,0,1
CA,Butte,1,1,0
CA,Calaveras,0,0,1
CA,Colusa,0,0,1
CA,Contra Costa,1,1,1
CA,Del Norte,0,0,1
CA,El Dorado,1,0,0
CA,Fresno,1,1,1
CA,Glenn,0,0,1
CA,Humboldt,0,0,1
CA,Imperial,0,0,1
CA,Inyo,0,0,1
CA,Kern,0,1,1
CA,Kings,0,0,1
CA,Lake,0,0,1
CA,Lassen,0,0,1
CA,Los Angeles,1,1,1
CA,Madera,0,0,1
CA,Marin,1,1,1
CA,Mariposa,0,0,1
CA,Mendocino,0,0,1
CA,Merced,0,0,1
CA,Modoc,0,0,1
CA,Mono,0,0,1
CA,Monterey,1,1,1
CA,Napa,1,1,1
CA,Nevada,0,0,1
CA,Orange,1,1,1
CA,Placer,1,0,1
CA,Plumas,0,0,1
CA,Riverside,1,1,1
CA,Sacramento,1,1,1
CA,San Benito,0,0,1
CA,San Bernardino,0,1,1
CA,San Diego,1,1,1
CA,San Joaquin,1,1,1
CA,San Luis Obispo,1,0,1
CA,San Mateo,1,1,1
CA,Santa Barbara,1,1,1
CA,Santa Clara,1,1,1
CA,Santa Cruz,1,1,1
CA,Shasta,0,0,1
CA,Sierra,0,0,1
CA,Siskiyou,0,0,1
CA,Solano,1,0,1
CA,Sonoma,1,1,1
CA,Stanislaus,0,0,1
CA,Tehama,0,0,1
CA,Trinity,0,0,1
CA,Tulare,0,1,1
CA,Tuolumne,0,0,1
CA,Ventura,0,1,1
CA,Yolo,1,0,0
CA,Yuba,1,0,1
CO,Adams,0,1,1
CO,Arapahoe,1,0,0
CO,Archuleta,0,0,1
CO,Boulder,0,0,1
CO,Douglas,0,1,0
CO,Eagle,0,0,1
CO,El Paso,0,0,1
CO,Fremont,0,0,1
CO,Garfield,0,0,1
CO,Jefferson,0,0,1
CO,La Plata,0,0,1
CO,Larimer,0,0,1
CO,Mesa,0,0,1
CO,Montrose,0,0,1
CO,Morgan,0,0,1
CO,Pitkin,0,0,1
CO,Pueblo,0,1,1
CO,Routt,0,0,1
CO,Summit,0,0,1
CO,Weld,1,1,1
CT,Fairfield,0,1,1
CT,Hartford,1,1,1
CT,Litchfield,1,1,1
CT,Middlesex,0,0,1
CT,New Haven,0,0,1
CT,New London,0,1,1
CT,Tolland,0,0,1
CT,Windham,0,0,1
DE,Kent,1,0,0
DE,New Castle,1,1,0
DE,Sussex,1,0,0
FL,Alachua,0,1,0
FL,Bay,0,0,1
FL,Brevard,1,1,0
FL,Broward,1,1,1
FL,Charlotte,1,0,0
FL,Citrus,0,0,1
FL,Clay,0,0,1
FL,Collier,1,1,0
FL,Columbia,0,0,1
FL,Duval,1,1,1
FL,Escambia,1,1,0
FL,Hendry,0,0,1
FL,Hernando,1,0,1
FL,Highlands,1,0,1
FL,Hillsborough,1,1,0
FL,Indian River,1,1,1
FL,Jackson,1,0,0
FL,Lake,0,0,1
FL,Lee,0,0,1
FL,Leon,0,0,1
FL,Madison,0,0,1
FL,Manatee,1,0,0
FL,Marion,1,1,0
FL,Martin,0,0,1
FL,Miami-Dade,0,1,1
FL,Monroe,0,0,1
FL,Nassau,0,0,1
FL,Okaloosa,0,0,1
FL,Okeechobee,0,1,1
FL,Orange,1,1,1
FL,Osceola,1,0,1
FL,Palm Beach,1,0,1
FL,Pasco,0,0,1
FL,Pinellas,0,0,1
FL,Polk,0,1,1
FL,Putnam,0,0,1
FL,Santa Rosa,0,0,1
FL,Sarasota,1,0,1
FL,Seminole,1,1,0
FL,St. Johns,0,0,1
FL,St. Lucie,1,1,0
FL,Sumter,0,0,1
FL,Taylor,0,0,1
FL,Union,1,0,0
FL,Volusia,0,1,1
GA,Atkinson,0,0,1
GA,Banks,0,0,1
GA,Barrow,1,1,0
GA,Bartow,0,0,1
GA,Bibb,1,1,1
GA,Butts,1,0,0
GA,Camden,0,0,1
GA,Carroll,0,0,1
GA,Catoosa,1,0,0
GA,Charlton,0,0,1
GA,Chatham,1,0,1
GA,Chattahoochee,0,1,0
GA,Cherokee,0,1,1
GA,Clarke,1,0,0
GA,Clayton,1,1,0
GA,Columbia,0,0,1
GA,Coweta,0,0,1
GA,Crisp,0,0,1
GA,DeKalb,1,1,1
GA,Decatur,0,0,1
GA,Dougherty,1,0,0
GA,Fayette,0,1,0
GA,Floyd,0,0,1
GA,Forsyth,0,0,1
GA,Fulton,0,1,1
GA,Gordon,0,0,1
GA,Gwinnett,1,1,1
GA,Habersham,0,0,1
GA,Hall,0,0,1
GA,Heard,0,0,1
GA,Houston,1,0,0
GA,Jefferson,0,0,1
GA,Lamar,0,0,1
GA,Laurens,0,0,1
GA,Liberty,0,0,1
GA,Lowndes,1,0,0
GA,Meriwether,0,0,1
GA,Monroe,0,0,1
GA,Murray,0,0,1
GA,Muscogee,0,0,1
GA,Oglethorpe,0,0,1
GA,Paulding,0,0,1
GA,Polk,0,0,1
GA,Richmond,1,0,0
GA,Taylor,1,1,0
GA,Thomas,0,0,1
GA,Tift,0,0,1
GA,Toombs,0,0,1
GA,Troup,0,1,1
GA,Twiggs,1,0,0
GA,Walker,0,0,1
GA,Wayne,0,0,1
GA,Whitfield,1,1,0
HI,Hawaii,0,0,1
HI,Honolulu,0,1,1
HI,Kauai,0,0,1
HI,Maui,0,0,1
IA,Benton,0,0,1
IA,Black Hawk,0,0,1
IA,Boone,0,0,1
IA,Carroll,0,0,1
IA,Cass,0,0,1
IA,Cerro Gordo,0,0,1
IA,Cherokee,0,0,1
IA,Clinton,0,0,1
IA,Dallas,0,0,1
IA,Decatur,0,0,1
IA,Des Moines,1,0,0
IA,Dickinson,0,0,1
IA,Dubuque,1,0,0
IA,Fayette,0,0,1
IA,Fremont,0,0,1
IA,Hardin,0,0,1
IA,Harrison,0,0,1
IA,Iowa,0,0,1
IA,Jasper,0,0,1
IA,Johnson,0,0,1
IA,Keokuk,0,0,1
IA,Lee,0,0,1
IA,Linn,1,1,0
IA,Madison,0,0,1
IA,Mahaska,0,0,1
IA,Marion,0,0,1
IA,Marshall,0,0,1
IA,Mills,0,0,1
IA,Mitchell,0,0,1
IA,Montgomery,0,0,1
IA,Muscatine,0,0,1
IA,Page,0,0,1
IA,Palo Alto,0,0,1
IA,Polk,1,0,0
